Teks,Prediksi Sentimen
suka banget tampil nya tarik banget tema batik indonesia top up bayar perlu mudah gampang apps repot kantor cabang deh,Negatif
ya masuk pasword dll verifikasi by sms email masuk pin kartu masuk data nya proses proses jam coba masuk pin nya halaman suruh ulang registrasi sih ribet ya,Negatif
baru aplikasi masuk sistem operasi dukung guna livin alhasil pakai aplikasi,Negatif
list sedia jasa menu bayar muncul bayar urgently need fast respon bayar deh paraahhh,Negatif
login baik coba coba dtang kantor cabang suruh tunggu,Negatif
sumbar rtrw nagari bikin akun secai mobile aduh,Negatif
saldo kurang ratus ribu informasi apa telpon bank daftar asuransi axa mandiri daftar ceritanyaaaaaaa mandiri,Negatif
bug buka aplikasi samsung note appcrash coba hapus cache data force stop buka tolong developer tidur sentry nya cek nih crash,Negatif
sangatsangat bantu transfer bayar listrik top up shopee dana sayang nya transfer negeri aplikasi aplikasi transfer negeri moga aplikasi kembang layan baik,Negatif
tolong baik scan wajah login hp baca wajah hp coba kantor cabang selesai,Negatif
aplikasi rusak bayar alesan suruh tunggu suruh ubah atur pokok troble,Negatif
ganggu mending app ganggu rase suruh pindah app transaksi hambat susah not recomend mending nutup rekening,Negatif
sih lu aplikasi guna susah nasabah dilihatlihat guna nih aplikasi baru transfer top up lihat saldo loading nya abad nih kalo asih bintang lima deh gua kasih deh bintang bagus nih aplikasi ah kesel banget gua tunggu minggu baik nya gaji kah tanggulang keluh tobat deh lu,Negatif
kebanykan errornya orang pakai mobile banking mudah transkasi malam mobile banking minggu oke maintaince malam baharu sulit transaksi,Negatif
parah nih bagus aplikasi mandiri transfer transfer pasuk nomer rekening aplikasi simpan,Negatif
gaji rutin masuk belanja online bayar pulsa listrik menu pinjam paylater ya muncul sayang kecewa tinggal potong pas tanggal gaji takut tuh pinjam ojk livin pilih pinjam lesing motor pinjam livin sungguh kecewa,Negatif
loading login iklan promo guna aplikasi ok aplikasi bank promo promo iklan parah aplikasi bank promopromo iklaniklan menu promo tolong hilang ya baik server login nya,Negatif
mohon maaf kembang kasih bintangaplikasi eror saat digunakancontoh saat login transaksi terang apk data penggunamohon perhati nyaman guna aplikasi,Negatif
diupdate riwayat transaksi lambat buka tolong kondisi bilang jaring stabil wifi coba direstart hp niat aplikasi aplikasi otak atik rubah ubah,Negatif
transaksi pas pakai new livin nyamanloadingnya lemotsering erorr login nya praktis terang transaksi komplit livin biru cenderung livin,Positif
kecewa livin jelek ya transfer suruh setting otomatis jam hp otomatis otakatik ikut smuanya on off ulang restart dimatiin mode airplane dll suruh ubah otomatis emosiiiii lagiiiii,Negatif
livin buka banget mohon maaf responsif aplikasi bni,Negatif
mohon baik masuk suka loading banget mati data nya masuk fungsi moga tingkat depan nya livin mandiri,Negatif
aplikasi hang kasirsaat uninstall ulang kode otp masuk sms notif suruh tunggu jam pr banget kalinyasy alami nya mohon baik sistem nya terima kasih,Negatif
app user friendly plus cs nya guna kartu fisik dapetnya notif samsek,Negatif
mutasi nya suka nge bug tolong selesai bulan nge bug transfer gamuncul mutasi nya saldo nya cocok mutasi cocok nge bug orang screenshoot mutasi tlglah selesai cepat bug nya e statement nya gaperlu tunggu kali tanggal biar kayak baca langsung e statement pdf mudah dibatasin tanggal help,Negatif
eror sih ya livin masuk sistem hp support hapus instal ulang buka kelas bumn kayak tolong baik cepat,Negatif
apk nya bagus efektif apk update ulang kali terkadang diupdate simpan internal bagus sinyal internet bagus tolong admin baik,Negatif
aplikasi versi terupdate baguus tampil muka warna biru cerah manja mata ikon menu cantik freshmenu investasi langsung hubung sekuritas mendownload aplikasi kayak fitur info promo tarik pokok livin mandiri supper apss kini,Negatif
aplikasi livin update buka lgkenapa ya tolong jelas,Negatif
livin jam tf livin malam dgunain bank bngd jelek apk nya ganggu mending uninstal guna,Negatif
kasih bibtang livin bagus bantu saran minimal minimum transfer topup kalah kompetitor beda ewalet tuju tingkat skala transfer simpan by mandiri,Negatif
nasabah bank mandiri nikmat fasilitas mobile livin mandiri nasabah akses transaksi mesin atm bijak bank super ribet minim alternatif selesai solusi verifikasi wajah muncul terang verifikasi tambah cs bank selesai stop bank mandiri hapus aplikasi pindah saldo bank minggu verifikasi,Negatif
kasih bintang alam beli token listrik livin nomor token kasih pakai pln pln bilang kalo beli livin mandiri baik sistem jaring nya takut mafia token aplikasi sistem terima kasih,Negatif
proses serba online mandiri livin mudah cepat buka rekening tabung nasabah buka rekening by online proses informasi lengkap cabang bank ya layan buruk online mohon baik sistem layan nasabah cepat,Negatif
livin logo biru praktis akses mudah paham bintang livin logo kuning tingkat perihal bayar isi saldo shopeepay fiturnya mengunakan livin logo biru ribet mengunakan apl,Negatif
jelek banget aplikasi transaksi tanggal otomatis otomatis kaya heraaannn,Negatif
transaksi langsung nonaktif kantor cabang aktif buka rek hadehh,Negatif
livin transaksi suruh tinggal halaman suruh ubah atur tanggal otomatis atur handphone otomatissudah minggu trnsaksitolonglah kerjasamanya,Negatif
moga bagus nyatolong perbaikiloding nya lelet bangetbikin aktifitas tergangguaplikasi bikin ribetmending biruyang simpel cepat,Negatif
guna ok security mudahmudahan jamin proses layar masuk pin baca tulis apa angka tab ok tutup keypad bb keyone mohon kait bantu app app terima kasih ok edit ratingnya,Negatif
aplikasi bagus banget cepat mudah tampil tarik top up emoney ewallet mudah cepat mantap,Negatif
maaf pas buka aplikasi aplikasi error malam tolong baik ya,Negatif
pakai mandiri kali nih kecewa hp realme prog update ui v n os android aplikasi livin logindaftar anggap os tida resmi aplikasi update aplikasi baca sea bank bri dana gopay login os hmmm,Negatif
sulit customer aplikasi nya ganti kalo fungsi baharu kalo daftar kali nya praktis kalo kaya bentar aplikasi ganti,Negatif
parah transaksi atur jam jam otomatis atur zona hp mau coba gara update kayak aplikasi fungsi,Negatif
nya loading nya sabar ditungguin login transaksi gagal kira update uninstal livin instal diinstal masuk sistem pelihara plat merah sih,Negatif
update apk nya kurg memuaskn enak transfer ketik ulang save sulit erti update error minggu upgrade suruh upgrade malas apk butuh tahun kali upgrade kayak,Negatif
aplikasi mobile banking sampah pakai ubah kait livin akses kcp tunggu kerja hasil payah mandiri,Negatif
friendly orang disabilitas verifikasi wajah respon kedip mata belah cabang bantu tutup rek mandiri,Negatif
saatau buka aplikasi stuck logo livin ya tolong developer nya baik bugnya,Negatif
semenjak upgrade one ui android aplikasi normal aplikasi pemberitahuan livin by mandiri tanggap lot,Negatif
aplikasi ribet banget pulsa habis verifikasi mesti ganti password masuk mending aplikasi warna biru mudah repot nasabah,Negatif
buka rekening mandiri online suruh daftar pakai kartu mandiri daftar rekening daftar pakai kartu lihat pandu mandiri web habis verifikasi ktp suruh pakai kartu sesuai info isi nomor handphone otp dll tolong baik errornya susah,Negatif
livin biru top up e moneysaldo tabung potong pas cek e money nya masuk saldonyaitu rugi nasabahhaduhtolong baik ya,Negatif
atur tanggal otomatis atur setel otomatis sesuai sedia jaring,Negatif
transaksi transfer top up ewalet muncul terang tanggal setting coba copot aplikasi download mala login suruh bikin password login update baru,Negatif
masuk livin by mandiri nya otp masuk ganggu tingkat layan,Negatif
bis buka aplikasi nya hp sayabisa tolong kasih solusi sebab nya membukak aplikasi livin by mandiri nya android,Negatif
pakai mandiri kecewa senang administrasi tabmu mahal fiturnya minimtak transaksi online kartu mudah rusak saldo minimal topup emoney ribet batas minimal transaksi parah livin by mandiri pakai hp ganti os tarik saldo biar rekening mati pindah bank mbankingnya mudah regulasi rumit livin milik reputasi,Negatif
ribet livin biru biru top up kuning minim ribu paymennya simpel biru mohon baik biru tambah bintang,Negatif
rada susah bayar tagih bayar apa menu multipayment ngisi saldo hubung akun emoneynya enak biru sih gampang,Negatif
min masuk bikin mbanking nya muncul tingkat layan coba hp min kartu atm,Negatif
cepat transaksi transfer dana cepat biru kuning jeda searching nama mohon baik spt,Negatif
bisadi ketik pin hapus download pas maukin no kartu terang sistem operasi adroid tida mendu nya hp gue haga juta kelas aplikasi layan mandiri atm nya angkutin susah nyai atm dalem pt taroin adad milik sala aneh aneh,Negatif
qris tampil kode qr buka top up e wallet ubah atur jam hp otomatis diturutin pakai bayar nontunai,Negatif
sih aplikasi update baru signigikan banget kadang buka appnya lemott banget berat hp edit suruh update,Negatif
notif jaga aman akun bagi layar bagi layar,Negatif
alam buruk rekening bank digital error verifikasi gagal alas koneksi proses selesai gilir aplikasi crash terus moga performa aplikasi baik stabil,Negatif
orang apk kendala transaksi alami transaksi transfernarik uang direstart ulang kali uninstall ulang setting jam otomatisnon otomatis beda transaksi coba baik aplikasi susah orang banyaaakkkkk,Negatif
habis update masuk livin andro hp andro sulit mudah,Negatif
tarik tunai kena potong ribu bayar pakai qris kena potong pindah ewallet ya,Negatif
kali mu nyobadaftar livin mandiri login rekening koran coba pancing isi saldo ribu login notif hapus apk share share bri baca simpel warning lihat youtube komplain heran orang orang pegang sistem tonton doang dah tindak benerin aplikasi komppalain cs mimta maaf tindak,Negatif
jam aplikasi livin mandiri nya payah,Negatif
transfer gagal mesti setting atur jam otomatis hp rubah otomatis transfer susah ribet,Negatif
deh aplikasi heran gwe tb buka hpnya sambung livin suruh ganti perangkat hp dukung suruh beli hp hp gwe kentang ya aplikasi buka gwe buka tb ku buka tolong kalo aplikasi susah guna nasabah makek heran gwe aplikasi tolong benerin,Negatif
komplain penmabahan akun daftar transfer bertahuntahun aplikasi hubung cari norek transfer menggangu nyaman proses transfer livin,Negatif
update aplikasi topuptransfer uninstall instal masuk verifikasi wajah hasil ya terang pakai aksesoris fitu tabung sedia,Negatif
sih aplikasi buka hp restartatur jamhapus data sulit bertransaksipengen cepat aplikasi masuk hp vivo pakai vivo baru kah log,Negatif
update livin setting login pakai biometrik fingerprint ya oke update aplikasi,Negatif
update hp nya ram kuras install melulu mesti pilih apdate pakai bisnis update butuh transfer belanja online tambah fitur hp kecil,Negatif
tolong tf pakai qris tunda uang terpotongterus tuju qris nya masukmohon nya kembali uang,Negatif
update kapasitas memory kadang tf loadingnya transfer orang kali riwayat masak input ulang capek deh,Negatif
aplikasi jalan lambat banget no rek transaksi simpan masuk transaksi kadang aplikasi tutup login ulang kali kali baik,Negatif
komentar negatif ya pakai livin kendala transfer coba cek jaring bilang verifikasi wajah tempat terang kalo luar rumah gonta ganti verifikasi wajah gara ganti nomer data alhamdulillah mudah puas banget pakai livin pokok mudah transaksi terima kasih livin,Negatif
livin kuning login ya tampil hasil hubung jaring update hapus data install ulang mohon cerah pikir livin biru,Negatif
login masuk password eh anggep salah kartu solusinyaa,Negatif
tolong tiket adu proses proses email respon email banget,Negatif
minus bintang mau kasih aplikasi banking error update update masuk ngadat verifikasi wajah ros solusi gua ganti muka aplikasi ubah kayak deh,Negatif
verifikasi wajah lelah masuk terusdah uninstal mutu aplikasi,Negatif
mohon maaf koreksihold amount atur ambil terang potong leletgak terupdate vitur aplikasi bagus kecewa hold amountkadang ambil sesuai real,Negatif
diupdate bingung pilih opsi ubah isi saldo shoopepay menu bayar menu topup guna mesti ajar fungsi menu,Negatif
kendala internet bagus masuk kalo buru buru suka kesal,Negatif
ya livin transaksi terima dana masuk pin pasword nya suruh coba,Positif
aneh verif gagal terang aneh banget mbangking nya kayak,Negatif
tiba pakai livinya handphone dukung aman sbelum nya fine aneh banget kurang minimal baik lag,Negatif
aplikasi gila pepet verifikasi wajah alhasil masuk kena langgar susah nasabah,Negatif
jelek aplikasi livin proses verifikasi wajahudh susah deteksi,Negatif
malam transfer dana rekening laindi resi nya hasil pas cek rekening tuju dana nya masukgmna solusi,Negatif
apk pas update gold kendala pas top up ecomers gagal nomer kode kadang gagal tolong baik sistem apk lancar nasabah tuh,Negatif
kecewa transfer gagal uang kembalisaya email tanggap tanggal februari telpon buang buang pulsa mesti tunggu kerja tolong baik kembali uang sayagperlu bi fast menu transfer kadang gliat menu efesien,Negatif
parah beluk nya mandiri biaya nya kartu gold limit nya ribu tolong developr baik nyaman,Negatif
login bisa ganggu terus an livin banget ganggu,Negatif
bantu livin by mandiri bantu mudah transaksi kartu elit n mudah cepattransaksi apa bayar mudah livin by mandiri kartu thanks,Negatif
kenpa ganti hpdan masuk livingsudah yaberulang masuk baik deh blanlangsung bank kena tunggu,Negatif
susah transfer setel hape sesuai perintah aplikasi setel jam otomatis aplikasi konek langsung atur,Negatif
update nge lag kecewa risih,Negatif
masuk ya kali coba isi data verifikasi wajah dsuruh kedip hasil halaman coba proses jadi halaman ya,Negatif
update seringkali data hapus lumayan megabit nya tolong update kecuali perintah harus update ulang bijak update hp lot doanload lot,Negatif
nih apk sih isi shopee pay beli pulsa tulis nya cek ewallet dll kali loh error butuh hambat apk mudah sulit,Negatif
saldo potong kemarin sisa saldo gilir isi tf saldo cukup cek sisa saldo kemarin potong,Negatif
buka aplikasi bisaloading muter ajamohon arah uinstal susah masukanya lagisampek verifikasi kali sms coba coba teruspadahal transfer rekan kerjasegera perbaikimalah bagus aplikasi indak troubel,Negatif
update muncul notifikasi atur otomatis ya setting otomatis notifikasi muncul login aplikasi mohon baik,Negatif
aktivasi gagal mulu foto kedip l dll enak cepat lancar,Negatif
tolong baik fitur emoney nya lihat transaksi mudah struk masuk tol beda lengkap fiturnya fitur lihat transaksi bantu guna tol truk terima kasih,Negatif
semenjak ganti logo nya lelet ya lihat saldo tarik respon tekan login respon buku kunci pakai sidik jari aktif arah masuk pakai sidik jari,Negatif
update lot ui ux nya ribet depan kurang fitur fitur orang aplikasi fitur lot parah user pakai buka aplikasi muter muter sesal usernya pindah bank belah,Negatif
aplikasi transfer pemberitahuan proses lanjut suruh atur jam tanggal otomatis atur jam tanggal otomatis coba install ulang,Negatif
login wkwkwk btwfitur benam livin kuning signifikan sayatampilan freshhampir info guna mudahjelas rinci fitur quickfast pas butuh inti livin kuning rombak total lurrrr coba top up ewalet bayar ecommerce lancar lurrr cepat,Negatif
aplikasi sih susah banget suruh download aplikasi buka rekening online aplikasi login pakai kode kartu atmnya kartu atm nya kasih bilang kirim paket kartu atmnya kayak bank mandiri masalah,Negatif
email macemsaya download ulangmash ajasering aplikasi nya,Negatif
terima kasih lancar pakai livin transaksi nya bikin atm ribet langsung rumah moga sukses,Negatif
livin kuning biru biru cek mutasi transaksi pakai emoney mesin atm kuning mesin atm cek mutasinyasedangkan usaha kirim bantu mutasinyatolong kembali livin biru,Negatif
hormat mandiri prihal saldo hilang bayar setor tanggal oktober potong sisa saldo tanggal november mandiri komfirmasi potong tolong jelas mandiri,Negatif
ya error login masuk susah banget pas biru jarang banget error upgrade kuning error tolong transaksi hambat,Negatif
aplikasi sih berharihari loh akses transaksi atm banget pakai transaksi mobile apps nya dibenerin atuh performa nya ganggu tt,Negatif
kocak emnglama download livin download masuk masuk transaksi hapus nih livin terang logindari mandiri lambat,Negatif
fitur update emoney nya lot banget ya gagal transaksi topup update butuh banget,Negatif
tolong baik bug livin logo biru fitur tarik tunai bug tolong developer aplikasi baik cepat,Negatif
pas daftar gadikasih kartu debitpas pin blokir pin kartu debitsaya cari mana pin nyaorang kartu debit nya,Negatif
update app livin log insudah instal ulang app indak log insudah email respontolonglah bantu app livin,Negatif
aplikasi mandiri eror kena bug,Negatif
enak pakai birusaya buka internet mandiri user id nyakalau pakai livin mandiri kuning pakai user idcapek deh multipayment livin kuning bayar spaylatermakin sih ya layan nyabisakah livin biru update lot kurang guna nya,Negatif
login aplikasi verifikasi sms muncul notif tingkat layan ya solusi kak,Negatif
kartu rekening masuk data valid masalah pikir guna kecewa maka mandiri,Negatif
upgrade susah livin pers tolong perbaikiuntuk cari bayar,Negatif
aplikasi buka weihh bikin banking biar mudah transaksi aplikasi buka barusan update loh diupdate bobrok,Negatif
ubah b b kerja cs mandiri merespon verifikasi login apk livin cs bank sulit laut posisi layar daratanuntuk depan moga mudah,Negatif
layan aplikasi mudah sulit kalo top up transfer suruh atur jam pertanyaanya jam jam dihp otomatis sesuai zona restart hp coba paksa henti aplikasi aihhh capek capeek,Negatif
masuk apk nya coba ganti password pas log verifikasi gagal kali kirim sms nya coba hp gagal segi kirim sms verifikasi nya,Negatif
ganggu sistem pelihara cs bantu sekuriti sekuriti suruh coba ,Negatif
buka kalo up grade muncul tulis nya buka aplikasi nya,Negatif
transaksi update mudah terang proses mohon bantu tau update,Negatif
aplikasi bagus bug tolong kalo update pemberitahuan tenggang skip transaksi,Negatif
pakai hp xiaomi poco buka pe pulsa habis bank bingung bagus livin biru praktis gampang eror depan bagus aneh ragu,Negatif
tolong baik fitur passwordnya salah pasuk password suruh ngubah password suruh tunggu salah password tunggu menitjam ganti password tolong baik,Negatif
baru lot fiturnya lot ampun bayar multypayment sedia jasa tampil layar,Negatif
terima transfer jam pagi,Negatif
sesuai keb tuhan saldo,Negatif
apk kagak jelasmau bayar va kagak aplikasi buruk apk mbanking ribethanya cek saldo ajsisa nya ampas fitur apk inisemua nya serba bisadisuruh kece ituini ujung nya kagak tolol,Negatif
semenjak ganti livin birususah login tulis nya hasil hubung upgrade nya bagus susah login nya mending balikin livin biru deh pakai data seluler wifi login parahparah,Negatif
kembali ribet simple bikin pusing liku program mudah sulit,Negatif
bingung kalo buka aplikasi mandiri mutarnya beda bank baca bri tolong inovasi bank mandiri loadingnya lelet,Negatif
livin nya daftar pas masuk pin kartu verifikasi wajah bolak,Negatif
suruh update buka notif aman data,Negatif
parah banget nih aplikasi transaksi gagal suruh coba coba biru fitur lancar transaksi upgrade biru bikin,Negatif
bayar pulsa susah ya proses pasuk pin alas proses suruh cek tanggal otomatis biar masuk livin otomatis alas alas transaksi proses suruh halaman muat halaman info solusi nih,Negatif
top up dana semenjak update kemarin saldo bawah top up sisa saldo kemarin sisa an timbul sisa resi transaksi muncul,Positif
urgensi instal perangkat mlhn aman tolong hilang update sistem server repot user tolong ubah gara update login,Negatif
setujulebih praktis arsip buka detail no rek barubaru transfer muncul transfer caricari isi pulsa auto muncul saran no hp isiharus masuk no hp praktis hihi,Negatif
apk guna intip saldo doangdi transaksi bisaudah baik,Positif
maaf kasih bintang saran perhati ubah aplikasi bantu saran bantu mudah transaksi qris hasil langsung muncul detail transaksi no referensi sumber dana dll klik bagi resi transaksi merchant banyak foto bagi terima kasih,Negatif
aplikasi ubah suka saldo simpan deposito tabung rencana muncul ya terimakasih direspon,Negatif
licin mandiri,Negatif
custom rom kocak root,Negatif
susah hubung iklan bikin berat aplikasi tolong kalo bikin aplikasi sempurna bagus livin biru kuning,Negatif
halo kak ya livin susah masuk nomor bank nya proses bilang tunggu minggu hadeh,Negatif
selesai livin buka via chat wa agent onlinenya lempar email agent solutif slow respon aplikasi jatuh tempo tabung tutup akses mandiri,Negatif
menu tampil layar atm menu transaksi kartu tekan keypad angka keluar menu ambil kartu yuk yuk bank mandiri,Negatif
pelihara apk andal sepenuh pelihara jam alami gagal transaksi malam terang transaksi gagal suruh login menit ulang sering takut hilang saldo,Negatif
susah update terbarusesudah update login tolong baik bingung aplikasi nya mudah pemakainnya susah update sinyal susah pakai,Negatif
kali kali coba aktif kendala verifikasi wajah jaring putus sinyal wifi bagus data bagus hasil gagal via web bisatolong solusi,Negatif
apk bayar gagal tanggal coba otomatis atur ulang transaksi orang nya tru kah,Negatif
kali jadi pas pakai urgent baharu diupdate ulang aplk buka biar hari log out pleasee deh seemakin diupdate kualitas semakiiiin buruk data nasabah taruh,Negatif
kecewa daftar kali daftar bank cabang ribet prosedur surat domisili pakai lurah bank seribet aplikasi bagus tugas cabang membantusyarat lengkaponline offline ribet konfirmasi otp kunjung kirim via email,Negatif
update baru crashgangguan bug ya menu kayak berat jala aplikasi livin,Negatif
bank mandiri tolong baik aplikasi livin logo kuning pilih variasi aplikasi lambat under maintenance harap pemberitahuan terimakasih,Negatif
susah livin by mandiri suruh buruh login buka livin ya teman teman buka livin ya buka livin ya kasih bintang,Negatif
apk berat butuh sinyal extra kuat akses livin beda apk update bukanny bagus berat gagal login masukny,Negatif
living kayak transaksi susah bayar pakai qris coba transfer kadang kadang coba update lancar mohon baik terima kasih,Negatif
pakai apk livin mandiri saldo minimal ribu ubah saldo minimal tanpabada info ribu wajib endap saldo tarik sungguh kecewa,Negatif
livin mandiri jam dana qris transaksi nya,Positif
minn ya bikin akun udhh masuk ktp sukes otp sms apa tau nya login min,Negatif
aplikasi bingung bagus biru update sulit ram hp tolong timbang,Negatif
aplikasi hari muter cuman ya mohon bantu,Negatif
diupdate jalan aplikasi nya kompatibel handphone pas buka opsi rekening mandiri kartu debitkredit mandiri klik buka appstore pisah ngeklik nya langsung nutup tolong baik aplikasi kembali sistem tambah fitur jual aplikasi paksa sukha deh,Negatif
ubah pnambahan fasilitas sih ok update aktifitas klr daerah sinyalkec data rendah pakai apk update gudang fitur manfaat kalo,Negatif
uinstal downlod an verivikasi wajah susah tolong nya diupdate aplikasi canggih an dikit,Negatif
milik akunkartu debit login verifikasi wajah saatn kedip mata error mohon bantu install hp,Negatif
apk biru buka pakai apk gold pakai finger print top up bayar tagih shopee sedia layan sesuai shopee bank mandiri profesional layan nya,Negatif
top up isi pulsa klik pilih menu lanjut nomor telf isi ganggu terimakasih,Negatif
aplikasi bagus cuman sistem ampun lalod error pikir hpku doang suka error eh pas teman buka aplikasi livin mulu buka berkalikali jaring kencang pol tolong baik sayang aplikasi bagus sistem suka error,Negatif
kali updatebikin memory full susah buka aplikasi nya,Negatif
pas verifikasi wajah gagal mulu ya padal sesuai instruksi gagal limit verivikasi habis tunggu kemarin verifikasi wajah,Negatif
mohon fitur tahan mudah tampil histori transaksi e money pasang livin notif update kurang livin tahan,Negatif
suruh apdet fitur muteeeeer kepala pusing aplikasi pusing,Negatif
pribadi guna livin kecewa login hapus download ulang masuk login tolong baik aplikasi biar hambat bisnis,Negatif
update password ribet banget isi nomor kartu cetak kartu ukur mata normal bagus aplikasi livin,Negatif
bagus tampil tarik transaksi mudah sizenya jadi hp android jadul berat kerja saran nih atur perlu sembunyi hilang,Negatif
wahhhh seta update lot ya livin nya buka menu lot loading nya transaksi terkadang gagal update nya mudah guna susah kecewa mohon kait atas problem guna livin nya enak maka aplikasi nya update,Negatif
transaksi qris tunda saldo kurang tunggu saldo beli pulsa telpon call center biaya telpon mahal,Negatif
livin by mandiri mudah daftarnyagk seribet kali daftar masukpasti gagal verifikasi wajahpadahal masuk ganti hp masuk gara verifikasi wajahdatang kantor cabang mandirijuga atas tolong livin by mandiri aplikasiny mudah bikin ruwet sandi pin benarcuma gagal verifikasi wajah,Negatif
nyaman menggukan livinternyata privasi lagimereka kutak atik sistemseenaknya tuju milik akun ambil saldo orangketika jelas nya muter muter jelasdengan alas sistempadahal sistem nya enak nya buka tutup blokir saldo orangterasa kecewa livin mandiri,Negatif
halo kak livin akses ya app,Positif
ya update kemarin kadang buka apk nya suka dsentuh apk nya susah login transaksi susah tolong baik biar mudah transaksi pakai ilivin,Negatif
bagus pakai simple guna,Negatif
update aplikasi aplikasi nya bukatidak buka otomatis masuk menu login langsung otomatis mohon saran informasi nya jalan terimakasih,Negatif
log livin tera cabang bank dekat bank kali maju suruh tunggu wa konfirmasi apa,Negatif
siang baik malam sulit transfer,Negatif
susah pakai buru aplikasinyasering close tunggu jambelum masuk pin close sendiridi update teteh close pie iki internet bagus,Negatif
mohon maaf lancang daftar orang fungsi apk tuh nurutin orang daftar notif kirim kartu debitvisa barbayar mohon stop data wenang,Negatif
kemari jelek transfer qr top up dana aplikasi nya hp setel otomatis jaring ubah kemarin,Negatif
parah pakai error pakai notif sharescreenudah coba uninstall bisalaporan cs,Negatif
aplikasi livin by mandiri serba singkat cepat mudah mana transaksi sukses bank mandiri,Negatif
susah konfirmasi password ya kali copot pasang apk nya kesal banget,Negatif
sok far kendala device apl livin biru gold nomer hp registrasi sukses coba coba langsung integrasi ewallet ciamik coba tarik tunai cardless wus wus coba isi saldo ewallet transfer moga aman moga depan hitzz sayang dual app livin bagus sedia update,Negatif
coba beberapa hpmerk aplikasi boros baterai percaya sila aplikasi sebentar logout jam buka setting hp cek guna baterai aplikasi habis kapasitas baterai,Negatif
livin oke easy use kalo estatement nya pby merchant pby virtual jelek banget bingung minus nya sih tolong detail kasih nama orang singkat biar,Negatif
kesel bangetudah minggu login tulis layan sedia login pemberitahuan loh,Negatif
keluh telpon call center telpon pulsa milik paket nelpon all operator nya isi pulsa nelpon call center suruh tunggu cs sibuk menit sambung putus pulsa habis paksa isi pulsa telpon ulang bicara cs mandiri sambung putus pulsa habis kah telpon call center gratis,Negatif
pakai mbanking mandiri ubah livin mandiri simpan nomor rekening transfer otomatis ya kesimpen entar hilang kalo nama masuk hang login restart hape buka livin mandiri kali restart hp kali transfer untun aplikasi error login ulang repot,Negatif
logo kuning bingung pilih menu pangkas tambah pilih mode transfer langsung kirim uang kalo salah pilih menu proxy faedah gontaganti nomer hp email plus kapai sih saldo transaksi home bagus disetting kali asih ulas kecewa tahun nasabah complain,Negatif
transaksi pakai pobsel sayaharus update muter muter terusmenyia nyiakan,Negatif
ya kemarin aplikasi livin mandiri dibukadiakses update email banget responnya kali nelpon ngabisin pulsa nunggunya banget tolong bantu gercep,Negatif
aplikasi livin bikin nyaman bikin susah user nyaman pakai livin biru kalo rating apk livin kuning ratenya kendala suka force close semenjak update versi beta multipayment lengkap kayak apk livin biru saran bikin fitur mudah user performa bug aplikasi perhati terimakasih,Negatif
livin kendala nya ya kemarin coba top up shopeepay coba bolak terang nya suruh coba coba habis update apk nya mohon solusi min terimakasih,Negatif
aplikasi buka,Negatif
sistem errorrr tolong perhati aplikasi nya top up saldo kali top up gagal editsaldo bank ketel top up shoopee pay itu transaksi gagalmalah tambah saldo shopee nya tolong tindak kalo lapor nih editsekarang sisa masuk,Positif
ragu menginstal aplikasi komentar ulas negatif guna aman aplikasi its ok coba sesuai ekspektasi langsung uninstal,Negatif
sulit transaksi mohon bikin mudah contoh tinggal pakai multipayment serba cari manual pakai multipayment simple transaksi,Negatif
daftar online hasil kali transaksi paksa hp reset coba donwload ulang tampil nya beda login suruh buka rek masuk angka digit kartu debit kartu debit sampaj tolong arah nya,Negatif
livin notif koneksi internetcek youtube aman alih livin new baik urgent banget laama baik knapa biar nasabah transksi baik optimal livin new sosialisasi kecewa,Negatif
kasih bintang riber banget ganti hp instal aplikasi lancar masuk kode muncul masalahlayanan sedia tingkat layan kecewa banget transaksi kendal hp rusak tolong mandiri tolong perhati biar costemer nyaman menikamtinnya kemarin kemarin loh,Negatif
aplikasi kacau banget transaksi update update solusi update update gadget cab dekat lihat spt layan mbanking baca rumit jaring system aman jaga,Negatif
maaf nih kakak cantikganteng tolong banyak update memori internal habis loh update memori diupdate transaksi capek hapus updatenya tahun gitulohhhhhh,Negatif
admin tolong seringsering update apknya buka kalo update pas urgent buka bingung kalo memori hpnya full tolong ya min,Negatif
transfer eror mulu tolong baik aplikasi masak kalah,Negatif
please kalo maintanance cepat dikit massa kali jam buka apliksinya parah,Negatif
woy masuk livin matiin data nyalain data nya masuk aplikasi mobile baca lancar,Negatif
download pakai aman mrasa gila bagus banget aplikasi mudah pakai pas gjian buka app nya muncul notif update aplikasi tekan update app store jalan update nya mohon selesai kendala sistem mbanking nya kecewa nasabah komplain maju sedikit mandiri,Negatif
tolong kemarin buka muncul notifikasi shere screen itutolong invonya,Negatif
pakai livin susah kali banget for close menu utama masuk livin nya kayak tolong banget cepat baik butuh bayar transfer online systemnya tolong baik susah banget masuk apk nya,Negatif
tampil uiux buruk bagus tampil simple ringan asa berat aplikasi,Negatif
regis jawabanya baik ya,Negatif
aplikasi eror login alas hubung jaring sinyal kuat,Negatif
respon lambat poll aplikasi jelek layan bantu sekalisdh hubung wa twitter solusi suruh lokasi bank kocak guna cs dsb pakai bni tangan gercep pakai mandiri super repot gara bijak pabrik malas banget,Negatif
